Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
152,2016,25-Mar-16,East,Regional Semifinal,6 Notre Dame,61,7 Wisconsin,56,,5,"Philadelphia, PA"
153,2016,25-Mar-16,East,Regional Semifinal,1 North Carolina,101,5 Indiana,86,,15,"Philadelphia, PA"
154,2016,25-Mar-16,Midwest,Regional Semifinal,4 Iowa State,71,1 Virginia,84,,-13,"Chicago, IL"
155,2016,25-Mar-16,East,Regional Semifinal,5 Indiana,86,1 North Carolina,101,,-15,"Philadelphia, PA"
156,2016,25-Mar-16,Midwest,Regional Semifinal,11 Gonzaga,60,10 Syracuse,63,,-3,"Chicago, IL"
157,2016,24-Mar-16,South,Regional Semifinal,2 Villanova,92,3 Miami (FL),69,,23,"Louisville, KY"
158,2016,24-Mar-16,West,Regional Semifinal,3 Texas A&M,63,2 Oklahoma,77,,-14,"Anaheim, CA"
159,2016,24-Mar-16,West,Regional Semifinal,1 Oregon,82,4 Duke,68,,14,"Anaheim, CA"
160,2016,24-Mar-16,West,Regional Semifinal,2 Oklahoma,77,3 Texas A&M,63,,14,"Anaheim, CA"
161,2016,24-Mar-16,South,Regional Semifinal,3 Miami (FL),69,2 Villanova,92,,-23,"Louisville, KY"
162,2016,24-Mar-16,South,Regional Semifinal,5 Maryland,63,1 Kansas,79,,-16,"Louisville, KY"
163,2016,24-Mar-16,South,Regional Semifinal,1 Kansas,79,5 Maryland,63,,16,"Louisville, KY"
164,2016,24-Mar-16,West,Regional Semifinal,4 Duke,68,1 Oregon,82,,-14,"Anaheim, CA"
165,2016,20-Mar-16,East,Second Round,2 Xavier,63,7 Wisconsin,66,,-3,"St. Louis, MO"
166,2016,20-Mar-16,East,Second Round,7 Wisconsin,66,2 Xavier,63,,3,"St. Louis, MO"
167,2016,20-Mar-16,West,Second Round,10 Virginia Commonwealth,81,2 Oklahoma,85,,-4,"Oklahoma City, OK"
168,2016,20-Mar-16,South,Second Round,2 Villanova,87,7 Iowa,68,,19,"Brooklyn, NY"
169,2016,20-Mar-16,West,Second Round,3 Texas A&M,92,11 Northern Iowa,88,2OT,4,"Oklahoma City, OK"
170,2016,20-Mar-16,Midwest,Second Round,10 Syracuse,75,15 Middle Tennessee,50,,25,"St. Louis, MO"
171,2016,20-Mar-16,East,Second Round,14 Stephen F. Austin,75,6 Notre Dame,76,,-1,"Brooklyn, NY"
172,2016,20-Mar-16,West,Second Round,8 Saint Joseph's,64,1 Oregon,69,,-5,"Spokane, WA"
173,2016,20-Mar-16,West,Second Round,1 Oregon,69,8 Saint Joseph's,64,,5,"Spokane, WA"
174,2016,20-Mar-16,West,Second Round,2 Oklahoma,85,10 Virginia Commonwealth,81,,4,"Oklahoma City, OK"
175,2016,20-Mar-16,East,Second Round,6 Notre Dame,76,14 Stephen F. Austin,75,,1,"Brooklyn, NY"
176,2016,20-Mar-16,West,Second Round,11 Northern Iowa,88,3 Texas A&M,92,2OT,-4,"Oklahoma City, OK"
177,2016,20-Mar-16,Midwest,Second Round,15 Middle Tennessee,50,10 Syracuse,75,,-25,"St. Louis, MO"
178,2016,20-Mar-16,South,Second Round,5 Maryland,73,13 Hawaii,60,,13,"Spokane, WA"
179,2016,20-Mar-16,South,Second Round,7 Iowa,68,2 Villanova,87,,-19,"Brooklyn, NY"
