Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
843,2011,20-Mar-11,West,Third Round,8 Michigan,71,1 Duke,73,,-2,"Charlotte, NC"
844,2011,20-Mar-11,East,Third Round,11 Marquette,66,3 Syracuse,62,,4,"Cleveland, OH"
845,2011,20-Mar-11,Southwest,Third Round,1 Kansas,73,9 Illinois,59,,14,"Tulsa, OK"
846,2011,20-Mar-11,Southwest,Third Round,9 Illinois,59,1 Kansas,73,,-14,"Tulsa, OK"
847,2011,20-Mar-11,East,Third Round,8 George Mason,66,1 Ohio State,98,,-32,"Cleveland, OH"
848,2011,20-Mar-11,Southwest,Third Round,10 Florida State,71,2 Notre Dame,57,,14,"Chicago, IL"
849,2011,20-Mar-11,West,Third Round,1 Duke,73,8 Michigan,71,,2,"Charlotte, NC"
850,2011,20-Mar-11,West,Third Round,5 Arizona,70,4 Texas,69,,1,"Tulsa, OK"
851,2011,19-Mar-11,Southeast,Third Round,4 Wisconsin,70,5 Kansas State,65,,5,"Tucson, AZ"
852,2011,19-Mar-11,East,Third Round,5 West Virginia,63,4 Kentucky,71,,-8,"Tampa, FL"
853,2011,19-Mar-11,Southeast,Third Round,7 UCLA,65,2 Florida,73,,-8,"Tampa, FL"
854,2011,19-Mar-11,West,Third Round,7 Temple,64,2 San Diego State,71,2OT,-7,"Tucson, AZ"
855,2011,19-Mar-11,West,Third Round,2 San Diego State,71,7 Temple,64,2OT,7,"Tucson, AZ"
856,2011,19-Mar-11,Southwest,Third Round,12 Richmond,65,13 Morehead State,48,,17,"Denver, CO"
857,2011,19-Mar-11,Southeast,Third Round,1 Pittsburgh,70,8 Butler,71,,-1,"Washington, DC"
858,2011,19-Mar-11,Southwest,Third Round,13 Morehead State,48,12 Richmond,65,,-17,"Denver, CO"
859,2011,19-Mar-11,East,Third Round,4 Kentucky,71,5 West Virginia,63,,8,"Tampa, FL"
860,2011,19-Mar-11,Southeast,Third Round,5 Kansas State,65,4 Wisconsin,70,,-5,"Tucson, AZ"
861,2011,19-Mar-11,Southeast,Third Round,11 Gonzaga,67,3 Brigham Young,89,,-22,"Denver, CO"
862,2011,19-Mar-11,Southeast,Third Round,2 Florida,73,7 UCLA,65,,8,"Tampa, FL"
863,2011,19-Mar-11,West,Third Round,3 Connecticut,69,6 Cincinnati,58,,11,"Washington, DC"
864,2011,19-Mar-11,West,Third Round,6 Cincinnati,58,3 Connecticut,69,,-11,"Washington, DC"
865,2011,19-Mar-11,Southeast,Third Round,8 Butler,71,1 Pittsburgh,70,,1,"Washington, DC"
866,2011,19-Mar-11,Southeast,Third Round,3 Brigham Young,89,11 Gonzaga,67,,22,"Denver, CO"
867,2011,18-Mar-11,East,Second Round,6 Xavier,55,11 Marquette,66,,-11,"Cleveland, OH"
868,2011,18-Mar-11,East,Second Round,7 Washington,68,10 Georgia,65,,3,"Charlotte, NC"
869,2011,18-Mar-11,Southwest,Second Round,11 Virginia Commonwealth,74,6 Georgetown,56,,18,"Chicago, IL"
870,2011,18-Mar-11,East,Second Round,9 Villanova,57,8 George Mason,61,,-4,"Cleveland, OH"
871,2011,18-Mar-11,East,Second Round,16 Texas-San Antonio,46,1 Ohio State,75,,-29,"Cleveland, OH"
872,2011,18-Mar-11,Southwest,Second Round,7 Texas A&M,50,10 Florida State,57,,-7,"Chicago, IL"
873,2011,18-Mar-11,West,Second Round,4 Texas,85,13 Oakland,81,,4,"Tulsa, OK"
874,2011,18-Mar-11,West,Second Round,9 Tennessee,45,8 Michigan,75,,-30,"Charlotte, NC"
875,2011,18-Mar-11,East,Second Round,3 Syracuse,77,14 Indiana State,60,,17,"Cleveland, OH"
876,2011,18-Mar-11,Southwest,Second Round,14 Saint Peter's,43,3 Purdue,65,,-22,"Chicago, IL"
877,2011,18-Mar-11,Southwest,Second Round,3 Purdue,65,14 Saint Peter's,43,,22,"Chicago, IL"
878,2011,18-Mar-11,East,Second Round,1 Ohio State,75,16 Texas-San Antonio,46,,29,"Cleveland, OH"
879,2011,18-Mar-11,West,Second Round,13 Oakland,81,4 Texas,85,,-4,"Tulsa, OK"
880,2011,18-Mar-11,Southwest,Second Round,2 Notre Dame,69,15 Akron,56,,13,"Chicago, IL"
881,2011,18-Mar-11,East,Second Round,2 North Carolina,102,15 Long Island University,87,,15,"Charlotte, NC"
882,2011,18-Mar-11,Southwest,Second Round,8 Nevada-Las Vegas,62,9 Illinois,73,,-11,"Tulsa, OK"
883,2011,18-Mar-11,West,Second Round,8 Michigan,75,9 Tennessee,45,,30,"Charlotte, NC"
884,2011,18-Mar-11,West,Second Round,12 Memphis,75,5 Arizona,77,,-2,"Tulsa, OK"
885,2011,18-Mar-11,East,Second Round,11 Marquette,66,6 Xavier,55,,11,"Cleveland, OH"
886,2011,18-Mar-11,East,Second Round,15 Long Island University,87,2 North Carolina,102,,-15,"Charlotte, NC"
887,2011,18-Mar-11,Southwest,Second Round,1 Kansas,72,16 Boston University,53,,19,"Tulsa, OK"
888,2011,18-Mar-11,East,Second Round,14 Indiana State,60,3 Syracuse,77,,-17,"Cleveland, OH"
889,2011,18-Mar-11,Southwest,Second Round,9 Illinois,73,8 Nevada-Las Vegas,62,,11,"Tulsa, OK"
890,2011,18-Mar-11,West,Second Round,16 Hampton,45,1 Duke,87,,-42,"Charlotte, NC"
891,2011,18-Mar-11,East,Second Round,10 Georgia,65,7 Washington,68,,-3,"Charlotte, NC"
892,2011,18-Mar-11,Southwest,Second Round,6 Georgetown,56,11 Virginia Commonwealth,74,,-18,"Chicago, IL"
893,2011,18-Mar-11,East,Second Round,8 George Mason,61,9 Villanova,57,,4,"Cleveland, OH"
894,2011,18-Mar-11,Southwest,Second Round,10 Florida State,57,7 Texas A&M,50,,7,"Chicago, IL"
895,2011,18-Mar-11,West,Second Round,1 Duke,87,16 Hampton,45,,42,"Charlotte, NC"
896,2011,18-Mar-11,Southwest,Second Round,16 Boston University,53,1 Kansas,72,,-19,"Tulsa, OK"
897,2011,18-Mar-11,West,Second Round,5 Arizona,77,12 Memphis,75,,2,"Tulsa, OK"
898,2011,18-Mar-11,Southwest,Second Round,15 Akron,56,2 Notre Dame,69,,-13,"Chicago, IL"
899,2011,17-Mar-11,Southeast,Second Round,14 Wofford,66,3 Brigham Young,74,,-8,"Denver, CO"
900,2011,17-Mar-11,Southeast,Second Round,4 Wisconsin,72,13 Belmont,58,,14,"Tucson, AZ"
901,2011,17-Mar-11,East,Second Round,5 West Virginia,84,12 Clemson,76,,8,"Tampa, FL"
902,2011,17-Mar-11,Southwest,Second Round,5 Vanderbilt,66,12 Richmond,69,,-3,"Denver, CO"
903,2011,17-Mar-11,Southeast,Second Round,12 Utah State,68,5 Kansas State,73,,-5,"Tucson, AZ"
904,2011,17-Mar-11,Southeast,Second Round,7 UCLA,78,10 Michigan State,76,,2,"Tampa, FL"
905,2011,17-Mar-11,West,Second Round,7 Temple,66,10 Penn State,64,,2,"Tucson, AZ"
906,2011,17-Mar-11,Southeast,Second Round,6 St. John's (NY),71,11 Gonzaga,86,,-15,"Denver, CO"
907,2011,17-Mar-11,West,Second Round,2 San Diego State,68,15 Northern Colorado,50,,18,"Tucson, AZ"
908,2011,17-Mar-11,Southwest,Second Round,12 Richmond,69,5 Vanderbilt,66,,3,"Denver, CO"
909,2011,17-Mar-11,East,Second Round,13 Princeton,57,4 Kentucky,59,,-2,"Tampa, FL"
910,2011,17-Mar-11,Southeast,Second Round,1 Pittsburgh,74,16 North Carolina-Asheville,51,,23,"Washington, DC"
911,2011,17-Mar-11,West,Second Round,10 Penn State,64,7 Temple,66,,-2,"Tucson, AZ"
912,2011,17-Mar-11,Southeast,Second Round,9 Old Dominion,58,8 Butler,60,,-2,"Washington, DC"
913,2011,17-Mar-11,West,Second Round,15 Northern Colorado,50,2 San Diego State,68,,-18,"Tucson, AZ"
914,2011,17-Mar-11,Southeast,Second Round,16 North Carolina-Asheville,51,1 Pittsburgh,74,,-23,"Washington, DC"
915,2011,17-Mar-11,Southwest,Second Round,13 Morehead State,62,4 Louisville,61,,1,"Denver, CO"
916,2011,17-Mar-11,West,Second Round,11 Missouri,63,6 Cincinnati,78,,-15,"Washington, DC"
917,2011,17-Mar-11,Southeast,Second Round,10 Michigan State,76,7 UCLA,78,,-2,"Tampa, FL"
918,2011,17-Mar-11,Southwest,Second Round,4 Louisville,61,13 Morehead State,62,,-1,"Denver, CO"
919,2011,17-Mar-11,East,Second Round,4 Kentucky,59,13 Princeton,57,,2,"Tampa, FL"
920,2011,17-Mar-11,Southeast,Second Round,5 Kansas State,73,12 Utah State,68,,5,"Tucson, AZ"
921,2011,17-Mar-11,Southeast,Second Round,11 Gonzaga,86,6 St. John's (NY),71,,15,"Denver, CO"
922,2011,17-Mar-11,Southeast,Second Round,2 Florida,79,15 California-Santa Barbara,51,,28,"Tampa, FL"
923,2011,17-Mar-11,West,Second Round,3 Connecticut,81,14 Bucknell,52,,29,"Washington, DC"
924,2011,17-Mar-11,East,Second Round,12 Clemson,76,5 West Virginia,84,,-8,"Tampa, FL"
925,2011,17-Mar-11,West,Second Round,6 Cincinnati,78,11 Missouri,63,,15,"Washington, DC"
926,2011,17-Mar-11,Southeast,Second Round,15 California-Santa Barbara,51,2 Florida,79,,-28,"Tampa, FL"
927,2011,17-Mar-11,Southeast,Second Round,8 Butler,60,9 Old Dominion,58,,2,"Washington, DC"
928,2011,17-Mar-11,West,Second Round,14 Bucknell,52,3 Connecticut,81,,-29,"Washington, DC"
929,2011,17-Mar-11,Southeast,Second Round,3 Brigham Young,74,14 Wofford,66,,8,"Denver, CO"
930,2011,17-Mar-11,Southeast,Second Round,13 Belmont,58,4 Wisconsin,72,,-14,"Tucson, AZ"
931,2011,16-Mar-11,Southwest,First Round,11 Virginia Commonwealth,59,11 Southern California,46,,13,"Dayton, OH"
932,2011,16-Mar-11,East,First Round,16 Texas-San Antonio,70,16 Alabama State,61,,9,"Dayton, OH"
933,2011,16-Mar-11,Southwest,First Round,11 Southern California,46,11 Virginia Commonwealth,59,,-13,"Dayton, OH"
934,2011,16-Mar-11,East,First Round,16 Alabama State,61,16 Texas-San Antonio,70,,-9,"Dayton, OH"
935,2011,15-Mar-11,Southeast,First Round,16 North Carolina-Asheville,81,16 Arkansas-Little Rock,77,OT,4,"Dayton, OH"
936,2011,15-Mar-11,East,First Round,12 Clemson,70,12 Alabama-Birmingham,52,,18,"Dayton, OH"
937,2011,15-Mar-11,Southeast,First Round,16 Arkansas-Little Rock,77,16 North Carolina-Asheville,81,OT,-4,"Dayton, OH"
938,2011,15-Mar-11,East,First Round,12 Alabama-Birmingham,52,12 Clemson,70,,-18,"Dayton, OH"
939,2010,5-Apr-10,National,National Final,1 Duke,61,5 Butler,59,,2,"Indianapolis, IN"
940,2010,5-Apr-10,National,National Final,5 Butler,59,1 Duke,61,,-2,"Indianapolis, IN"
941,2010,3-Apr-10,National,National Semifinal,2 West Virginia,57,1 Duke,78,,-21,"Indianapolis, IN"
942,2010,3-Apr-10,National,National Semifinal,5 Michigan State,50,5 Butler,52,,-2,"Indianapolis, IN"
943,2010,3-Apr-10,National,National Semifinal,1 Duke,78,2 West Virginia,57,,21,"Indianapolis, IN"
944,2010,3-Apr-10,National,National Semifinal,5 Butler,52,5 Michigan State,50,,2,"Indianapolis, IN"
945,2010,28-Mar-10,Midwest,Regional Final,6 Tennessee,69,5 Michigan State,70,,-1,"St. Louis, MO"
946,2010,28-Mar-10,Midwest,Regional Final,5 Michigan State,70,6 Tennessee,69,,1,"St. Louis, MO"
947,2010,28-Mar-10,South,Regional Final,1 Duke,78,3 Baylor,71,,7,"Houston, TX"
948,2010,28-Mar-10,South,Regional Final,3 Baylor,71,1 Duke,78,,-7,"Houston, TX"
949,2010,27-Mar-10,East,Regional Final,2 West Virginia,73,1 Kentucky,66,,7,"Syracuse, NY"
950,2010,27-Mar-10,East,Regional Final,1 Kentucky,66,2 West Virginia,73,,-7,"Syracuse, NY"
951,2010,27-Mar-10,West,Regional Final,2 Kansas State,56,5 Butler,63,,-7,"Salt Lake City, UT"
952,2010,27-Mar-10,West,Regional Final,5 Butler,63,2 Kansas State,56,,7,"Salt Lake City, UT"
953,2010,26-Mar-10,Midwest,Regional Semifinal,6 Tennessee,76,2 Ohio State,73,,3,"St. Louis, MO"
954,2010,26-Mar-10,South,Regional Semifinal,10 Saint Mary's (CA),49,3 Baylor,72,,-23,"Houston, TX"
955,2010,26-Mar-10,South,Regional Semifinal,4 Purdue,57,1 Duke,70,,-13,"Houston, TX"
956,2010,26-Mar-10,Midwest,Regional Semifinal,2 Ohio State,73,6 Tennessee,76,,-3,"St. Louis, MO"
957,2010,26-Mar-10,Midwest,Regional Semifinal,9 Northern Iowa,52,5 Michigan State,59,,-7,"St. Louis, MO"
958,2010,26-Mar-10,Midwest,Regional Semifinal,5 Michigan State,59,9 Northern Iowa,52,,7,"St. Louis, MO"
959,2010,26-Mar-10,South,Regional Semifinal,1 Duke,70,4 Purdue,57,,13,"Houston, TX"
960,2010,26-Mar-10,South,Regional Semifinal,3 Baylor,72,10 Saint Mary's (CA),49,,23,"Houston, TX"
961,2010,25-Mar-10,West,Regional Semifinal,6 Xavier,96,2 Kansas State,101,2OT,-5,"Salt Lake City, UT"
962,2010,25-Mar-10,East,Regional Semifinal,2 West Virginia,69,11 Washington,56,,13,"Syracuse, NY"
963,2010,25-Mar-10,East,Regional Semifinal,11 Washington,56,2 West Virginia,69,,-13,"Syracuse, NY"
964,2010,25-Mar-10,West,Regional Semifinal,1 Syracuse,59,5 Butler,63,,-4,"Salt Lake City, UT"
965,2010,25-Mar-10,East,Regional Semifinal,1 Kentucky,62,12 Cornell,45,,17,"Syracuse, NY"
966,2010,25-Mar-10,West,Regional Semifinal,2 Kansas State,101,6 Xavier,96,2OT,5,"Salt Lake City, UT"
967,2010,25-Mar-10,East,Regional Semifinal,12 Cornell,45,1 Kentucky,62,,-17,"Syracuse, NY"
968,2010,25-Mar-10,West,Regional Semifinal,5 Butler,63,1 Syracuse,59,,4,"Salt Lake City, UT"
969,2010,21-Mar-10,West,Second Round,6 Xavier,71,3 Pittsburgh,68,,3,"Milwaukee, WI"
970,2010,21-Mar-10,East,Second Round,4 Wisconsin,69,12 Cornell,87,,-18,"Jacksonville, FL"
971,2010,21-Mar-10,East,Second Round,2 West Virginia,68,10 Missouri,59,,9,"Buffalo, NY"
972,2010,21-Mar-10,South,Second Round,5 Texas A&M,61,4 Purdue,63,OT,-2,"Spokane, WA"
973,2010,21-Mar-10,West,Second Round,1 Syracuse,87,8 Gonzaga,65,,22,"Buffalo, NY"
974,2010,21-Mar-10,South,Second Round,4 Purdue,63,5 Texas A&M,61,OT,2,"Spokane, WA"
975,2010,21-Mar-10,West,Second Round,3 Pittsburgh,68,6 Xavier,71,,-3,"Milwaukee, WI"
976,2010,21-Mar-10,Midwest,Second Round,2 Ohio State,75,10 Georgia Tech,66,,9,"Milwaukee, WI"
977,2010,21-Mar-10,East,Second Round,10 Missouri,59,2 West Virginia,68,,-9,"Buffalo, NY"
978,2010,21-Mar-10,Midwest,Second Round,5 Michigan State,85,4 Maryland,83,,2,"Spokane, WA"
979,2010,21-Mar-10,Midwest,Second Round,4 Maryland,83,5 Michigan State,85,,-2,"Spokane, WA"
980,2010,21-Mar-10,West,Second Round,8 Gonzaga,65,1 Syracuse,87,,-22,"Buffalo, NY"
981,2010,21-Mar-10,Midwest,Second Round,10 Georgia Tech,66,2 Ohio State,75,,-9,"Milwaukee, WI"
982,2010,21-Mar-10,South,Second Round,1 Duke,68,8 California,53,,15,"Jacksonville, FL"
983,2010,21-Mar-10,East,Second Round,12 Cornell,87,4 Wisconsin,69,,18,"Jacksonville, FL"
984,2010,21-Mar-10,South,Second Round,8 California,53,1 Duke,68,,-15,"Jacksonville, FL"
985,2010,20-Mar-10,East,Second Round,11 Washington,82,3 New Mexico,64,,18,"San Jose, CA"
986,2010,20-Mar-10,East,Second Round,9 Wake Forest,60,1 Kentucky,90,,-30,"New Orleans, LA"
987,2010,20-Mar-10,South,Second Round,2 Villanova,68,10 Saint Mary's (CA),75,,-7,"Providence, RI"
988,2010,20-Mar-10,Midwest,Second Round,6 Tennessee,83,14 Ohio,68,,15,"Providence, RI"
989,2010,20-Mar-10,South,Second Round,10 Saint Mary's (CA),75,2 Villanova,68,,7,"Providence, RI"
990,2010,20-Mar-10,South,Second Round,11 Old Dominion,68,3 Baylor,76,,-8,"New Orleans, LA"
991,2010,20-Mar-10,Midwest,Second Round,14 Ohio,68,6 Tennessee,83,,-15,"Providence, RI"
992,2010,20-Mar-10,Midwest,Second Round,9 Northern Iowa,69,1 Kansas,67,,2,"Oklahoma City, OK"
993,2010,20-Mar-10,East,Second Round,3 New Mexico,64,11 Washington,82,,-18,"San Jose, CA"
994,2010,20-Mar-10,West,Second Round,13 Murray State,52,5 Butler,54,,-2,"San Jose, CA"
995,2010,20-Mar-10,East,Second Round,1 Kentucky,90,9 Wake Forest,60,,30,"New Orleans, LA"
996,2010,20-Mar-10,West,Second Round,2 Kansas State,84,7 Brigham Young,72,,12,"Oklahoma City, OK"
997,2010,20-Mar-10,Midwest,Second Round,1 Kansas,67,9 Northern Iowa,69,,-2,"Oklahoma City, OK"
998,2010,20-Mar-10,West,Second Round,5 Butler,54,13 Murray State,52,,2,"San Jose, CA"
999,2010,20-Mar-10,West,Second Round,7 Brigham Young,72,2 Kansas State,84,,-12,"Oklahoma City, OK"
1000,2010,20-Mar-10,South,Second Round,3 Baylor,76,11 Old Dominion,68,,8,"New Orleans, LA"
1001,2010,19-Mar-10,West,First Round,6 Xavier,65,11 Minnesota,54,,11,"Milwaukee, WI"
1002,2010,19-Mar-10,East,First Round,13 Wofford,49,4 Wisconsin,53,,-4,"Jacksonville, FL"
1003,2010,19-Mar-10,East,First Round,4 Wisconsin,53,13 Wofford,49,,4,"Jacksonville, FL"
1004,2010,19-Mar-10,East,First Round,2 West Virginia,77,15 Morgan State,50,,27,"Buffalo, NY"
1005,2010,19-Mar-10,West,First Round,16 Vermont,56,1 Syracuse,79,,-23,"Buffalo, NY"
1006,2010,19-Mar-10,South,First Round,12 Utah State,53,5 Texas A&M,69,,-16,"Spokane, WA"
1007,2010,19-Mar-10,South,First Round,5 Texas A&M,69,12 Utah State,53,,16,"Spokane, WA"
1008,2010,19-Mar-10,East,First Round,5 Temple,65,12 Cornell,78,,-13,"Jacksonville, FL"
1009,2010,19-Mar-10,West,First Round,1 Syracuse,79,16 Vermont,56,,23,"Buffalo, NY"
1010,2010,19-Mar-10,South,First Round,13 Siena,64,4 Purdue,72,,-8,"Spokane, WA"
1011,2010,19-Mar-10,South,First Round,4 Purdue,72,13 Siena,64,,8,"Spokane, WA"
1012,2010,19-Mar-10,West,First Round,3 Pittsburgh,89,14 Oakland,66,,23,"Milwaukee, WI"
1013,2010,19-Mar-10,Midwest,First Round,7 Oklahoma State,59,10 Georgia Tech,64,,-5,"Milwaukee, WI"
1014,2010,19-Mar-10,Midwest,First Round,2 Ohio State,68,15 California-Santa Barbara,51,,17,"Milwaukee, WI"
1015,2010,19-Mar-10,West,First Round,14 Oakland,66,3 Pittsburgh,89,,-23,"Milwaukee, WI"
1016,2010,19-Mar-10,Midwest,First Round,12 New Mexico State,67,5 Michigan State,70,,-3,"Spokane, WA"
1017,2010,19-Mar-10,East,First Round,15 Morgan State,50,2 West Virginia,77,,-27,"Buffalo, NY"
1018,2010,19-Mar-10,East,First Round,10 Missouri,86,7 Clemson,78,,8,"Buffalo, NY"
1019,2010,19-Mar-10,West,First Round,11 Minnesota,54,6 Xavier,65,,-11,"Milwaukee, WI"
1020,2010,19-Mar-10,Midwest,First Round,5 Michigan State,70,12 New Mexico State,67,,3,"Spokane, WA"
1021,2010,19-Mar-10,Midwest,First Round,4 Maryland,89,13 Houston,77,,12,"Spokane, WA"
1022,2010,19-Mar-10,South,First Round,9 Louisville,62,8 California,77,,-15,"Jacksonville, FL"
1023,2010,19-Mar-10,Midwest,First Round,13 Houston,77,4 Maryland,89,,-12,"Spokane, WA"
1024,2010,19-Mar-10,West,First Round,8 Gonzaga,67,9 Florida State,60,,7,"Buffalo, NY"
1025,2010,19-Mar-10,Midwest,First Round,10 Georgia Tech,64,7 Oklahoma State,59,,5,"Milwaukee, WI"
1026,2010,19-Mar-10,West,First Round,9 Florida State,60,8 Gonzaga,67,,-7,"Buffalo, NY"
1027,2010,19-Mar-10,South,First Round,1 Duke,73,16 Arkansas-Pine Bluff,44,,29,"Jacksonville, FL"
1028,2010,19-Mar-10,East,First Round,12 Cornell,78,5 Temple,65,,13,"Jacksonville, FL"
1029,2010,19-Mar-10,East,First Round,7 Clemson,78,10 Missouri,86,,-8,"Buffalo, NY"
1030,2010,19-Mar-10,Midwest,First Round,15 California-Santa Barbara,51,2 Ohio State,68,,-17,"Milwaukee, WI"
1031,2010,19-Mar-10,South,First Round,8 California,77,9 Louisville,62,,15,"Jacksonville, FL"
1032,2010,19-Mar-10,South,First Round,16 Arkansas-Pine Bluff,44,1 Duke,73,,-29,"Jacksonville, FL"
1033,2010,18-Mar-10,East,First Round,11 Washington,80,6 Marquette,78,,2,"San Jose, CA"
1034,2010,18-Mar-10,East,First Round,9 Wake Forest,81,8 Texas,80,OT,1,"New Orleans, LA"
1035,2010,18-Mar-10,South,First Round,2 Villanova,73,15 Robert Morris,70,OT,3,"Providence, RI"
1036,2010,18-Mar-10,West,First Round,4 Vanderbilt,65,13 Murray State,66,,-1,"San Jose, CA"
1037,2010,18-Mar-10,West,First Round,12 Texas-El Paso,59,5 Butler,77,,-18,"San Jose, CA"
1038,2010,18-Mar-10,East,First Round,8 Texas,80,9 Wake Forest,81,OT,-1,"New Orleans, LA"
1039,2010,18-Mar-10,Midwest,First Round,6 Tennessee,62,11 San Diego State,59,,3,"Providence, RI"
1040,2010,18-Mar-10,Midwest,First Round,11 San Diego State,59,6 Tennessee,62,,-3,"Providence, RI"
1041,2010,18-Mar-10,South,First Round,14 Sam Houston State,59,3 Baylor,68,,-9,"New Orleans, LA"
1042,2010,18-Mar-10,South,First Round,10 Saint Mary's (CA),80,7 Richmond,71,,9,"Providence, RI"
1043,2010,18-Mar-10,South,First Round,15 Robert Morris,70,2 Villanova,73,OT,-3,"Providence, RI"
1044,2010,18-Mar-10,South,First Round,7 Richmond,71,10 Saint Mary's (CA),80,,-9,"Providence, RI"
1045,2010,18-Mar-10,South,First Round,11 Old Dominion,51,6 Notre Dame,50,,1,"New Orleans, LA"
1046,2010,18-Mar-10,Midwest,First Round,14 Ohio,97,3 Georgetown,83,,14,"Providence, RI"
1047,2010,18-Mar-10,South,First Round,6 Notre Dame,50,11 Old Dominion,51,,-1,"New Orleans, LA"
1048,2010,18-Mar-10,Midwest,First Round,9 Northern Iowa,69,8 Nevada-Las Vegas,66,,3,"Oklahoma City, OK"
1049,2010,18-Mar-10,West,First Round,15 North Texas,62,2 Kansas State,82,,-20,"Oklahoma City, OK"
1050,2010,18-Mar-10,East,First Round,3 New Mexico,62,14 Montana,57,,5,"San Jose, CA"
1051,2010,18-Mar-10,Midwest,First Round,8 Nevada-Las Vegas,66,9 Northern Iowa,69,,-3,"Oklahoma City, OK"
1052,2010,18-Mar-10,West,First Round,13 Murray State,66,4 Vanderbilt,65,,1,"San Jose, CA"
1053,2010,18-Mar-10,East,First Round,14 Montana,57,3 New Mexico,62,,-5,"San Jose, CA"
1054,2010,18-Mar-10,East,First Round,6 Marquette,78,11 Washington,80,,-2,"San Jose, CA"
1055,2010,18-Mar-10,Midwest,First Round,16 Lehigh,74,1 Kansas,90,,-16,"Oklahoma City, OK"
1056,2010,18-Mar-10,East,First Round,1 Kentucky,100,16 East Tennessee State,71,,29,"New Orleans, LA"
1057,2010,18-Mar-10,West,First Round,2 Kansas State,82,15 North Texas,62,,20,"Oklahoma City, OK"
1058,2010,18-Mar-10,Midwest,First Round,1 Kansas,90,16 Lehigh,74,,16,"Oklahoma City, OK"
1059,2010,18-Mar-10,Midwest,First Round,3 Georgetown,83,14 Ohio,97,,-14,"Providence, RI"
1060,2010,18-Mar-10,West,First Round,10 Florida,92,7 Brigham Young,99,2OT,-7,"Oklahoma City, OK"
1061,2010,18-Mar-10,East,First Round,16 East Tennessee State,71,1 Kentucky,100,,-29,"New Orleans, LA"
1062,2010,18-Mar-10,West,First Round,5 Butler,77,12 Texas-El Paso,59,,18,"San Jose, CA"
1063,2010,18-Mar-10,West,First Round,7 Brigham Young,99,10 Florida,92,2OT,7,"Oklahoma City, OK"
1064,2010,18-Mar-10,South,First Round,3 Baylor,68,14 Sam Houston State,59,,9,"New Orleans, LA"
1065,2010,16-Mar-10,South,Opening Round,16 Winthrop,44,16 Arkansas-Pine Bluff,61,,-17,"Dayton, OH"
1066,2010,16-Mar-10,South,Opening Round,16 Arkansas-Pine Bluff,61,16 Winthrop,44,,17,"Dayton, OH"
1067,2009,6-Apr-09,National,National Final,1 North Carolina,89,2 Michigan State,72,,17,"Detroit, MI"
1068,2009,6-Apr-09,National,National Final,2 Michigan State,72,1 North Carolina,89,,-17,"Detroit, MI"
1069,2009,4-Apr-09,National,National Semifinal,3 Villanova,69,1 North Carolina,83,,-14,"Detroit, MI"
1070,2009,4-Apr-09,National,National Semifinal,1 North Carolina,83,3 Villanova,69,,14,"Detroit, MI"
1071,2009,4-Apr-09,National,National Semifinal,2 Michigan State,82,1 Connecticut,73,,9,"Detroit, MI"
1072,2009,4-Apr-09,National,National Semifinal,1 Connecticut,73,2 Michigan State,82,,-9,"Detroit, MI"
1073,2009,29-Mar-09,South,Regional Final,2 Oklahoma,60,1 North Carolina,72,,-12,"Memphis, TN"
1074,2009,29-Mar-09,South,Regional Final,1 North Carolina,72,2 Oklahoma,60,,12,"Memphis, TN"
1075,2009,29-Mar-09,Midwest,Regional Final,2 Michigan State,64,1 Louisville,52,,12,"Indianapolis, IN"
1076,2009,29-Mar-09,Midwest,Regional Final,1 Louisville,52,2 Michigan State,64,,-12,"Indianapolis, IN"
1077,2009,28-Mar-09,East,Regional Final,3 Villanova,78,1 Pittsburgh,76,,2,"Boston, MA"
1078,2009,28-Mar-09,East,Regional Final,1 Pittsburgh,76,3 Villanova,78,,-2,"Boston, MA"
1079,2009,28-Mar-09,West,Regional Final,3 Missouri,75,1 Connecticut,82,,-7,"Glendale, AZ"
1080,2009,28-Mar-09,West,Regional Final,1 Connecticut,82,3 Missouri,75,,7,"Glendale, AZ"
1081,2009,27-Mar-09,South,Regional Semifinal,3 Syracuse,71,2 Oklahoma,84,,-13,"Memphis, TN"
1082,2009,27-Mar-09,South,Regional Semifinal,2 Oklahoma,84,3 Syracuse,71,,13,"Memphis, TN"
1083,2009,27-Mar-09,South,Regional Semifinal,1 North Carolina,98,4 Gonzaga,77,,21,"Memphis, TN"
1084,2009,27-Mar-09,Midwest,Regional Semifinal,2 Michigan State,67,3 Kansas,62,,5,"Indianapolis, IN"
1085,2009,27-Mar-09,Midwest,Regional Semifinal,1 Louisville,103,12 Arizona,64,,39,"Indianapolis, IN"
1086,2009,27-Mar-09,Midwest,Regional Semifinal,3 Kansas,62,2 Michigan State,67,,-5,"Indianapolis, IN"
1087,2009,27-Mar-09,South,Regional Semifinal,4 Gonzaga,77,1 North Carolina,98,,-21,"Memphis, TN"
1088,2009,27-Mar-09,Midwest,Regional Semifinal,12 Arizona,64,1 Louisville,103,,-39,"Indianapolis, IN"
1089,2009,26-Mar-09,East,Regional Semifinal,4 Xavier,55,1 Pittsburgh,60,,-5,"Boston, MA"
1090,2009,26-Mar-09,East,Regional Semifinal,3 Villanova,77,2 Duke,54,,23,"Boston, MA"
1091,2009,26-Mar-09,West,Regional Semifinal,5 Purdue,60,1 Connecticut,72,,-12,"Glendale, AZ"
